game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
5305,2.2,1.2,3.4,4,14,"['life3', 'life5', 'wild', 'life5', 'life9', 'life7', 'life9', 'life7', 'life10', 'super_life6', 'life8', 'life2', 'super_life8', 'death7']","{'suits': {1: [], 2: ['life2'], 3: ['life3'], 4: [], 5: ['life5', 'life5', 'wild'], 6: ['super_life6'], 7: ['life7', 'life7', 'death7'], 8: ['life8', 'super_life8'], 9: ['life9', 'life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 3, 6: 1, 7: 3, 8: 2, 9: 2, 10: 1}",12,1,1,0,3
5306,0.0,0.0,0.0,0,1,['death2'],"{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5307,0.3,0.1,0.4,1,4,"['life8', 'life4', 'life4', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: ['life4', 'life4'], 5: [], 6: [], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",3,0,1,0,2
5308,0.0,0.0,0.0,0,1,['death9'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",0,0,1,0,1
5309,0.9,0.1,1.0,1,6,"['life7', 'super_life1', 'life6', 'life10', 'life1', 'death4']","{'suits': {1: ['super_life1', 'life1'], 2: [], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1}",5,0,1,0,2
5310,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5311,0.9,0.1,1.0,1,6,"['life3', 'super_life9', 'life4', 'life10', 'life10', 'death7']","{'suits': {1: [], 2: [], 3: ['life3'], 4: ['life4'], 5: [], 6: [], 7: ['death7'], 8: [], 9: ['super_life9'], 10: ['life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",5,0,1,0,2
5312,0.8,0.0,0.8,0,5,"['life7', 'super_life8', 'life3', 'life6', 'death2']","{'suits': {1: [], 2: ['death2'], 3: ['life3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: ['super_life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 1, 9: 0, 10: 0}",4,0,1,0,1
5313,1.1,0.0,1.1,0,4,"['super_life9', 'super_life5', 'life4', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: ['super_life5'], 6: [], 7: [], 8: ['death8'], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0}",3,0,1,0,1
5314,0.7,0.1,0.8,1,4,"['life4', 'super_life5', 'life2', 'death5']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['life4'], 5: ['super_life5', 'death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",3,0,1,0,2
5315,0.3,0.1,0.4,1,3,"['wild', 'life2', 'death5']","{'suits': {1: [], 2: ['life2', 'wild'], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1,1,1,0,2
5316,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5317,0.2,0.0,0.2,0,2,"['wild', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,1,1,0,1
5318,0.0,0.0,0.0,0,1,['super_death'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,1,0
5319,0.0,0.0,0.0,0,1,['death10'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",0,0,1,0,1
